dataset,label,pair,variable,score,ttest_pval,odds,ci_lo,ci_up
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,-3,0.6253139760153832,1.067578407124358,0.9239573400527898,1.2317126354869183
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,-2,0.9771962923628449,1.0275136734760035,0.8966357144173325,1.1737130390999535
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,-1,0.9525757900444577,0.9726480186480186,0.8355101501702649,1.1300873141867513
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,1,0.6808364327181121,1.0434835387397057,0.9224201110296113,1.1824040679433359
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,2,0.7648724954463215,0.8805020463847204,0.7499647194016411,1.0311052379818666
df,F/C,"('TFemale', 'Control')",cite_likelihood_num,3,0.6235125565489141,0.9083126730185553,0.6885890970481653,1.2062464191016775
df_cred,F/C,"('TFemale', 'Control')",credibility_num,-2,0.9310937846292728,1.0324786900710892,0.8931822751056812,1.1905008330999536
df_cred,F/C,"('TFemale', 'Control')",credibility_num,-1,0.664555049937747,0.978222870004416,0.8711619387152898,1.097258927867281
df_cred,F/C,"('TFemale', 'Control')",credibility_num,1,0.5582858424008899,0.9659002218205718,0.8539963264629749,1.0908920806477673
df_cred,F/C,"('TFemale', 'Control')",credibility_num,2,0.5106207177887337,1.1462801105563358,0.8989289802574838,1.458630583734458
df,M/C,"('TMale', 'Control')",cite_likelihood_num,-3,0.5994679361192723,0.9997230460320574,0.8646490993374043,1.1557445085392188
df,M/C,"('TMale', 'Control')",cite_likelihood_num,-2,0.9585995839634023,0.9871541573358377,0.8627170051873817,1.1292192279124589
df,M/C,"('TMale', 'Control')",cite_likelihood_num,-1,0.5599508039945698,0.9827272727272728,0.8466026295198845,1.1468974610166485
df,M/C,"('TMale', 'Control')",cite_likelihood_num,1,0.7296862362270594,1.023627583168374,0.9067331989179488,1.1573232834938363
df,M/C,"('TMale', 'Control')",cite_likelihood_num,2,0.48992117172033955,0.9360649233543733,0.798638727720602,1.0957224032744433
df,M/C,"('TMale', 'Control')",cite_likelihood_num,3,0.6342430607788323,1.1935719503287072,0.9216522137993881,1.5500580902320862
df_cred,M/C,"('TMale', 'Control')",credibility_num,-2,0.8135995776434533,0.9673353566185217,0.8362420858541195,1.122928956051685
df_cred,M/C,"('TMale', 'Control')",credibility_num,-1,0.5382690915850638,0.9622329719591968,0.8557871156188465,1.079347175224031
df_cred,M/C,"('TMale', 'Control')",credibility_num,1,0.5480026129307992,1.0596585436332113,0.9376271399174223,1.2028594204375842
df_cred,M/C,"('TMale', 'Control')",credibility_num,2,0.9983731056937006,1.0389001456871576,0.812922644219169,1.3268139185513013
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-3,0.5702498299851612,1.0678741591099867,0.9247866889855354,1.2329286422200199
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-2,0.5690213441682082,1.0408847147532554,0.9089481177445418,1.1943541060501686
